City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
213,Berdigestyakh,62.0989,126.6992,41.34,72,15,5.3,RU,2022-09-16 00:49:40
214,Ballina,-28.8667,153.5667,71.78,76,49,11.32,AU,2022-09-16 00:49:40
215,Ondjiva,-17.0667,15.7333,67.41,20,0,8.21,AO,2022-09-16 00:49:40
216,Ostrov,57.3439,28.3537,49.73,97,49,9.6,RU,2022-09-16 00:49:41
217,Coquimbo,-29.9533,-71.3436,55.13,94,100,4.61,CL,2022-09-16 00:45:07
218,Bhan,26.5583,67.7214,85.37,59,0,8.23,PK,2022-09-16 00:50:41
219,Codrington,-38.2667,141.9667,50.72,95,100,18.77,AU,2022-09-16 00:50:41
220,Nikolskoye,59.7035,30.7861,53.49,97,93,8.1,RU,2022-09-16 00:50:42
221,Inhambane,-23.865,35.3833,65.79,83,0,3.87,MZ,2022-09-16 00:50:42
222,Kralendijk,12.15,-68.2667,84.18,79,40,11.5,BQ,2022-09-16 00:47:26
223,Vardo,70.3705,31.1107,48.18,93,100,25.32,NO,2022-09-16 00:50:43
224,Nizhnyaya Tavda,57.6731,66.1725,44.74,77,8,6.55,RU,2022-09-16 00:50:43
225,Matagalpa,12.9256,-85.9175,69.03,96,100,2.82,NI,2022-09-16 00:50:43
226,Rameshki,57.3439,36.0453,50.41,89,100,8.81,RU,2022-09-16 00:50:44
227,Moussoro,13.6408,16.4901,81.88,61,100,12.1,TD,2022-09-16 00:50:44
228,Seoul,37.5683,126.9778,78.4,67,75,10.36,KR,2022-09-16 00:46:36
229,Pisco,-13.7,-76.2167,59.05,88,40,5.75,PE,2022-09-16 00:50:45
230,Stilfontein,-26.8449,26.7683,57.52,44,4,4.0,ZA,2022-09-16 00:50:45
231,Aksehir,38.3575,31.4164,65.53,30,0,3.09,TR,2022-09-16 00:50:45
232,Chokurdakh,70.6333,147.9167,37.06,92,100,6.87,RU,2022-09-16 00:50:46
233,Kidal,18.4411,1.4078,92.12,12,71,5.82,ML,2022-09-16 00:50:46
234,Yei,4.095,30.6779,64.58,95,96,2.46,SS,2022-09-16 00:50:46
235,Oranjestad,12.524,-70.027,84.15,74,20,16.11,AW,2022-09-16 00:48:32
236,Taoudenni,22.6783,-3.9836,93.63,15,0,8.88,ML,2022-09-16 00:44:14
237,Aykhal,66.0,111.5,38.3,96,100,26.02,RU,2022-09-16 00:50:47
238,Buala,-8.145,159.5921,85.33,58,38,8.46,SB,2022-09-16 00:50:47
239,Mareeba,-17.0,145.4333,81.45,65,0,5.14,AU,2022-09-16 00:50:48
240,Zyryanka,65.75,150.85,42.78,52,100,12.5,RU,2022-09-16 00:50:48
241,Shoranur,10.7667,76.2833,77.02,99,100,0.36,IN,2022-09-16 00:50:48
242,Velikodvorskiy,55.25,40.6678,44.58,96,6,3.78,RU,2022-09-16 00:50:49
243,Qaqortoq,60.7167,-46.0333,49.21,86,100,1.61,GL,2022-09-16 00:50:49
244,Qiongshan,20.0058,110.3542,82.38,83,0,2.24,CN,2022-09-16 00:50:49
245,Boende,-0.2167,20.8667,68.27,96,22,2.15,CD,2022-09-16 00:50:50
246,Cherskiy,68.75,161.3,38.61,70,95,7.38,RU,2022-09-16 00:50:50
247,Visnes,59.3556,5.2242,55.45,82,20,31.07,NO,2022-09-16 00:50:51
248,Ratnagiri,16.9833,73.3,78.35,89,100,14.92,IN,2022-09-16 00:39:21
249,Cayenne,4.9333,-52.3333,80.64,89,0,3.44,GF,2022-09-16 00:42:56
250,Luderitz,-26.6481,15.1594,62.56,62,6,8.12,NA,2022-09-16 00:50:51
251,Grand-Santi,4.25,-54.3833,76.84,71,21,3.78,GF,2022-09-16 00:44:08
252,Srednekolymsk,67.45,153.6833,40.57,58,100,5.01,RU,2022-09-16 00:50:52
253,Marienburg,54.0359,19.0266,51.89,74,17,14.97,PL,2022-09-16 00:48:19
254,Saint-Augustin,51.226,-58.6502,54.99,71,100,1.88,CA,2022-09-16 00:50:52
255,Margate,51.3813,1.3862,57.87,58,100,5.01,GB,2022-09-16 00:47:11
256,Port Hardy,50.6996,-127.4199,59.18,67,75,3.44,CA,2022-09-16 00:50:53
257,Mantua,45.1667,10.7833,69.1,87,18,1.01,IT,2022-09-16 00:50:53
258,Ternate,0.8,127.4,81.84,75,72,3.89,ID,2022-09-16 00:50:53
259,San Patricio,28.017,-97.5169,86.09,65,7,12.01,US,2022-09-16 00:50:54
